iter	RMSE
0	12514.20476
1	12124.46564
2	11769.36595
3	11455.4181
4	11163.15688
5	10889.98456
6	10635.31029
7	10389.96607
8	10183.05254
9	10001.1809
10	9828.470873
11	9676.057882
12	9497.037417
13	9342.57783
14	9201.801746
15	9073.743253
16	8962.31537
17	8877.56262
18	8786.342753
19	8699.022403
20	8607.933646
21	8515.892399
22	8440.833597
23	8350.561902
24	8255.425985
25	8177.033088
26	8124.69657
27	8057.065508
28	8002.886586
29	7963.064398
30	7912.132299
31	7861.734655
32	7821.387499
33	7786.042637
34	7752.29486
35	7722.973147
36	7689.430158
37	7662.043221
38	7637.2589
39	7597.543379
40	7552.869193
41	7521.304896
42	7494.636667
43	7464.185628
44	7431.00166
45	7397.194117
46	7379.330458
47	7361.120627
48	7341.965518
49	7323.848286
50	7306.344305
51	7291.933226
52	7260.68127
53	7236.46846
54	7210.155538
55	7195.500471
56	7158.596198
57	7132.373261
58	7115.696749
59	7096.464264
60	7078.111041
61	7068.555819
62	7047.580399
63	7035.648319
64	7018.527539
65	7005.339216
66	6988.140754
67	6970.929467
68	6945.819595
69	6932.749603
70	6917.34551
71	6889.79825
72	6876.131325
73	6864.655407
74	6848.268541
75	6830.148233
76	6803.866551
77	6791.512463
78	6778.236298
79	6767.052377
80	6761.002637
81	6750.414187
82	6739.776313
83	6728.563934
84	6717.183592
85	6703.799722
86	6685.872957
87	6667.587433
88	6659.525361
89	6647.724904
90	6636.066144
91	6627.093525
92	6609.309708
93	6605.124603
94	6600.165978
95	6593.588065
96	6585.126087
97	6574.929028
98	6565.997099
99	6555.220725
100	6550.62451
101	6538.079598
102	6528.560667
103	6516.410042
104	6507.840032
105	6499.39015
106	6491.721785
107	6480.556497
108	6470.701872
109	6462.256122
110	6451.235104
111	6445.032489
112	6439.234685
113	6430.153516
114	6422.930148
115	6413.187769
116	6405.310434
117	6397.006715
118	6393.026225
119	6381.913233
120	6373.461013
121	6358.693707
122	6352.285992
123	6344.147615
124	6339.51207
125	6332.491572
126	6325.352751
127	6315.694624
128	6305.994102
129	6300.54388
130	6293.2248
131	6280.337675
132	6271.742743
133	6266.315617
134	6259.812079
135	6253.454796
136	6249.724255
137	6240.092533
138	6228.301362
139	6217.055869
140	6207.982314
141	6196.002179
142	6185.052316
143	6176.673165
144	6168.702549
145	6157.941637
146	6149.769303
147	6142.351683
148	6133.58478
149	6121.770357
150	6116.220282
151	6111.660535
152	6102.746975
153	6094.473091
154	6088.110172
155	6081.975156
156	6074.611634
157	6068.272679
158	6063.753658
159	6057.205528
160	6050.390837
161	6040.318148
162	6032.775654
163	6028.193047
164	6022.711538
165	6016.683456
166	6006.24018
167	5999.695796
168	5994.235397
169	5988.99531
170	5983.496862
171	5974.676834
172	5969.37974
173	5965.627501
174	5960.054053
175	5952.923255
176	5946.219444
177	5940.038009
178	5931.270864
179	5926.443146
